condition,complete,failed,refused,tp,fp,fn,precision,recall,mean_run_f1
Qwen single-RAG,290,10,0,65,15,60,0.8125,0.52,0.6341463414634146
Qwen autonomous team,285,15,0,60,10,65,0.8571428571428571,0.48,0.6153846153846154
Qwen fixed team,285,15,0,65,25,60,0.7222222222222222,0.52,0.6046511627906976
Qwen without evidence checking,285,15,0,65,25,60,0.7222222222222222,0.52,0.6046511627906976
Qwen without clinical-context agent,285,15,0,65,25,60,0.7222222222222222,0.52,0.6046511627906976
Qwen without retrieval,260,40,0,0,0,125,,0.0,0.0
Gemma single-RAG,235,65,0,20,20,105,0.5,0.16,0.24242424242424243
Gemma fixed team,250,50,0,15,0,110,1.0,0.12,0.21428571428571427
gpt-oss single-RAG,300,0,0,10,82,115,0.10869565217391304,0.08,0.09219638242894057
gpt-oss fixed team,284,11,5,30,75,95,0.2857142857142857,0.24,0.2608695652173913
